,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
1235,2024-03-15,166.0,168.699997,153.600006,161.0,161.0,108719847,15,3,2024,Q1
1234,2024-03-14,161.25,171.399994,160.600006,170.350006,170.350006,25912125,14,3,2024,Q1
1233,2024-03-13,173.0,173.899994,161.75,163.350006,163.350006,26725350,13,3,2024,Q1
1232,2024-03-12,175.0,175.899994,171.449997,172.899994,172.899994,20208400,12,3,2024,Q1
1231,2024-03-11,173.949997,177.5,172.100006,174.25,174.25,22843402,11,3,2024,Q1
1230,2024-03-07,177.350006,178.350006,174.0,174.600006,174.600006,17880714,7,3,2024,Q1
1229,2024-03-06,176.199997,178.199997,172.100006,177.350006,177.350006,37730619,6,3,2024,Q1
1228,2024-03-05,176.449997,177.300003,174.550003,175.850006,175.850006,21719198,5,3,2024,Q1
1227,2024-03-04,172.199997,176.449997,170.5,175.25,175.25,28643745,4,3,2024,Q1
1226,2024-03-01,167.949997,171.800003,167.399994,169.399994,169.399994,33401242,1,3,2024,Q1
1225,2024-02-29,167.399994,168.449997,164.350006,165.550003,165.550003,52797150,29,2,2024,Q1
1224,2024-02-28,172.5,173.449997,166.699997,167.399994,167.399994,35971734,28,2,2024,Q1
1223,2024-02-27,177.5,178.350006,172.100006,173.25,173.25,27603342,27,2,2024,Q1
1222,2024-02-26,175.899994,178.800003,172.550003,177.5,177.5,36264939,26,2,2024,Q1
1221,2024-02-23,179.699997,180.699997,175.050003,175.850006,175.850006,31342100,23,2,2024,Q1
1220,2024-02-22,181.5,181.5,175.399994,179.699997,179.699997,39618423,22,2,2024,Q1
1219,2024-02-21,189.600006,190.699997,181.100006,182.300003,182.300003,22131487,21,2,2024,Q1
1218,2024-02-20,187.5,189.699997,183.800003,188.75,188.75,34936800,20,2,2024,Q1
1217,2024-02-19,188.600006,190.899994,186.399994,188.5,188.5,30664067,19,2,2024,Q1
1216,2024-02-16,190.0,194.100006,186.149994,187.0,187.0,54056644,16,2,2024,Q1
1215,2024-02-15,185.0,191.350006,183.5,189.850006,189.850006,70678699,15,2,2024,Q1
1214,2024-02-14,173.0,184.350006,170.899994,183.550003,183.550003,52764452,14,2,2024,Q1
1213,2024-02-13,174.949997,177.449997,172.350006,174.449997,174.449997,37121416,13,2,2024,Q1
1212,2024-02-12,182.5,184.350006,173.149994,175.399994,175.399994,54071070,12,2,2024,Q1
1211,2024-02-09,193.399994,193.850006,177.75,182.5,182.5,84137345,9,2,2024,Q1
1210,2024-02-08,187.899994,196.800003,186.75,192.399994,192.399994,83103687,8,2,2024,Q1
1209,2024-02-07,188.199997,192.649994,185.050003,186.449997,186.449997,82890137,7,2,2024,Q1
1208,2024-02-06,176.550003,186.0,171.350006,184.5,184.5,97077698,6,2,2024,Q1
1207,2024-02-05,167.949997,177.199997,164.699997,173.949997,173.949997,101043319,5,2,2024,Q1
1206,2024-02-02,151.899994,166.800003,151.050003,162.899994,162.899994,94675914,2,2,2024,Q1
1205,2024-02-01,148.5,150.699997,147.050003,149.75,149.75,27883335,1,2,2024,Q1
1204,2024-01-31,147.800003,150.100006,146.100006,146.949997,146.949997,27393172,31,1,2024,Q1
1203,2024-01-30,148.399994,152.199997,146.5,147.699997,147.699997,41378967,30,1,2024,Q1
1202,2024-01-29,143.699997,148.399994,143.5,146.699997,146.699997,28420760,29,1,2024,Q1
1201,2024-01-25,145.899994,145.899994,142.0,143.699997,143.699997,38252600,25,1,2024,Q1
1200,2024-01-24,138.949997,145.25,138.050003,143.449997,143.449997,40122151,24,1,2024,Q1
1199,2024-01-23,151.5,151.800003,137.850006,138.949997,138.949997,38167576,23,1,2024,Q1
1198,2024-01-19,145.100006,149.300003,143.800003,148.649994,148.649994,23970656,19,1,2024,Q1
1197,2024-01-18,143.800003,145.649994,139.899994,144.5,144.5,26958686,18,1,2024,Q1
1196,2024-01-17,143.0,145.399994,141.550003,144.100006,144.100006,43031636,17,1,2024,Q1
1195,2024-01-16,138.25,144.350006,137.5,143.600006,143.600006,54350562,16,1,2024,Q1
1194,2024-01-15,136.449997,138.0,135.199997,137.649994,137.649994,22824583,15,1,2024,Q1
1193,2024-01-12,133.449997,135.850006,132.75,135.300003,135.300003,24471509,12,1,2024,Q1
1192,2024-01-11,131.350006,133.899994,131.100006,133.25,133.25,21653666,11,1,2024,Q1
1191,2024-01-10,130.949997,131.0,128.5,130.550003,130.550003,17547639,10,1,2024,Q1
1190,2024-01-09,134.899994,134.899994,131.550003,131.899994,131.899994,15051378,9,1,2024,Q1
1189,2024-01-08,134.0,136.100006,132.25,132.649994,132.649994,26199907,8,1,2024,Q1
1188,2024-01-05,132.800003,134.600006,131.550003,132.699997,132.699997,21903222,5,1,2024,Q1
1187,2024-01-04,132.0,132.0,128.800003,131.199997,131.199997,23880980,4,1,2024,Q1
1186,2024-01-03,130.550003,133.850006,130.300003,132.699997,132.699997,24221613,3,1,2024,Q1
1185,2024-01-02,131.0,131.449997,128.600006,130.550003,130.550003,17271309,2,1,2024,Q1
1184,2024-01-01,132.100006,132.5,130.0,130.300003,130.300003,18629028,1,1,2024,Q1
1183,2023-12-29,129.699997,132.050003,128.300003,129.850006,129.850006,30650133,29,12,2023,Q4
1182,2023-12-28,127.0,133.949997,126.5,133.25,133.25,54672874,28,12,2023,Q4
1181,2023-12-27,128.399994,128.899994,125.449997,126.599998,126.599998,16455934,27,12,2023,Q4
1180,2023-12-26,123.900002,128.5,123.599998,128.050003,128.050003,30770511,26,12,2023,Q4
1179,2023-12-22,124.25,125.0,122.099998,123.699997,123.699997,12915880,22,12,2023,Q4
1178,2023-12-21,118.0,124.5,117.349998,124.150002,124.150002,20805929,21,12,2023,Q4
1177,2023-12-20,125.599998,126.400002,119.0,120.050003,120.050003,27660494,20,12,2023,Q4
1176,2023-12-19,125.0,125.949997,124.199997,124.699997,124.699997,22074723,19,12,2023,Q4
1175,2023-12-18,124.449997,125.800003,123.199997,124.349998,124.349998,19345644,18,12,2023,Q4
1174,2023-12-15,120.300003,124.949997,119.650002,123.800003,123.800003,43200717,15,12,2023,Q4
1173,2023-12-14,120.5,120.5,119.349998,120.099998,120.099998,20038925,14,12,2023,Q4
1172,2023-12-13,118.5,119.849998,118.050003,119.650002,119.650002,23660687,13,12,2023,Q4
1171,2023-12-12,118.0,118.900002,116.900002,117.550003,117.550003,15735665,12,12,2023,Q4
1170,2023-12-11,119.900002,121.0,116.599998,117.5,117.5,28917089,11,12,2023,Q4
1169,2023-12-08,122.150002,122.449997,117.349998,118.800003,118.800003,22610433,8,12,2023,Q4
1168,2023-12-07,120.300003,122.5,119.550003,121.349998,121.349998,38173544,7,12,2023,Q4
1167,2023-12-06,118.800003,119.949997,117.400002,119.300003,119.300003,31094949,6,12,2023,Q4
1166,2023-12-05,120.0,120.0,115.599998,117.699997,117.699997,47272168,5,12,2023,Q4
1165,2023-12-04,114.5,118.150002,113.099998,115.900002,115.900002,50645500,4,12,2023,Q4
1164,2023-12-01,112.849998,113.949997,110.599998,111.25,111.25,24131009,1,12,2023,Q4
1163,2023-11-30,108.550003,112.5,107.099998,111.75,111.75,46269884,30,11,2023,Q4
1162,2023-11-29,108.699997,109.75,107.449997,108.550003,108.550003,36828919,29,11,2023,Q4
1161,2023-11-28,104.699997,108.599998,104.099998,108.199997,108.199997,61127565,28,11,2023,Q4
1160,2023-11-24,104.099998,105.300003,103.0,103.449997,103.449997,26009963,24,11,2023,Q4
1159,2023-11-23,102.0,104.199997,100.75,103.800003,103.800003,18589035,23,11,2023,Q4
1158,2023-11-22,101.0,102.699997,100.349998,101.25,101.25,16652996,22,11,2023,Q4
1157,2023-11-21,103.0,103.199997,100.849998,101.050003,101.050003,20429383,21,11,2023,Q4
1156,2023-11-20,103.0,103.949997,102.0,102.849998,102.849998,16980763,20,11,2023,Q4
1155,2023-11-17,105.0,106.300003,101.5,102.699997,102.699997,50796419,17,11,2023,Q4
1154,2023-11-16,102.0,105.150002,101.699997,104.099998,104.099998,43421272,16,11,2023,Q4
1153,2023-11-15,100.0,102.0,99.150002,101.699997,101.699997,35721107,15,11,2023,Q4
1152,2023-11-13,98.300003,99.25,97.550003,99.0,99.0,23502134,13,11,2023,Q4
1151,2023-11-10,97.849998,98.849998,97.400002,98.050003,98.050003,28403392,10,11,2023,Q4
1150,2023-11-09,104.099998,104.5,102.5,102.949997,97.949997,32091128,9,11,2023,Q4
1149,2023-11-08,105.400002,106.900002,103.050003,103.449997,98.425713,69412828,8,11,2023,Q4
1148,2023-11-07,100.0,104.300003,98.75,104.050003,98.996574,79534919,7,11,2023,Q4
1147,2023-11-06,97.0,100.5,96.599998,99.0,94.191841,63500708,6,11,2023,Q4
1146,2023-11-03,96.5,96.75,95.400002,95.900002,91.242401,34490201,3,11,2023,Q4
1145,2023-11-02,93.849998,96.5,93.300003,95.050003,90.433685,63995437,2,11,2023,Q4
1144,2023-11-01,92.0,93.0,90.449997,92.449997,87.959953,54027867,1,11,2023,Q4
1143,2023-10-31,89.0,90.0,87.650002,89.699997,85.343513,29025469,31,10,2023,Q4
1142,2023-10-30,87.449997,88.599998,86.75,88.25,83.963936,10175983,30,10,2023,Q4
1141,2023-10-27,86.550003,87.5,86.550003,86.900002,82.679504,6454064,27,10,2023,Q4
1140,2023-10-26,87.550003,87.800003,85.5,86.199997,82.013496,10108394,26,10,2023,Q4
1139,2023-10-25,88.449997,89.199997,86.800003,87.599998,83.345505,9057651,25,10,2023,Q4
1138,2023-10-23,90.300003,90.300003,87.650002,87.949997,83.678505,9592121,23,10,2023,Q4
1137,2023-10-20,90.550003,90.849998,89.5,90.300003,85.914375,8772287,20,10,2023,Q4
1136,2023-10-19,90.150002,90.900002,90.099998,90.650002,86.247375,6724121,19,10,2023,Q4
1135,2023-10-18,92.5,92.5,90.5,90.75,86.342522,11466227,18,10,2023,Q4
1134,2023-10-17,91.0,92.300003,90.75,91.849998,87.389091,13355267,17,10,2023,Q4
1133,2023-10-16,91.0,91.150002,90.199997,90.900002,86.485237,8631278,16,10,2023,Q4
1132,2023-10-13,90.300003,91.25,90.050003,90.849998,86.43766,12881848,13,10,2023,Q4
1131,2023-10-12,89.849998,90.699997,89.849998,90.300003,85.914375,9922340,12,10,2023,Q4
1130,2023-10-11,89.0,90.25,88.650002,89.699997,85.343513,12124613,11,10,2023,Q4
1129,2023-10-10,87.449997,88.550003,87.300003,88.349998,84.059074,9460129,10,10,2023,Q4
1128,2023-10-09,88.449997,88.599998,87.0,87.449997,83.202789,10345543,9,10,2023,Q4
1127,2023-10-06,90.0,90.0,89.349998,89.75,85.391083,8500414,6,10,2023,Q4
1126,2023-10-05,90.449997,90.75,89.199997,89.650002,85.295944,9293183,5,10,2023,Q4
1125,2023-10-04,90.0,90.150002,88.699997,89.099998,84.772652,10554372,4,10,2023,Q4
1124,2023-10-03,91.400002,91.400002,89.800003,90.0,85.628944,12491467,3,10,2023,Q4
1123,2023-09-29,90.599998,91.150002,90.25,90.949997,86.532799,7353379,29,9,2023,Q3
1122,2023-09-28,90.800003,91.400002,89.5,89.800003,85.43866,17116633,28,9,2023,Q3
1121,2023-09-27,92.050003,92.400002,90.099998,90.400002,86.009521,17576586,27,9,2023,Q3
1120,2023-09-26,92.199997,92.800003,91.900002,92.0,87.531807,8786944,26,9,2023,Q3
1119,2023-09-25,92.5,92.599998,91.800003,91.949997,87.484238,10885789,25,9,2023,Q3
1118,2023-09-22,92.800003,93.349998,92.0,92.25,87.769669,10983768,22,9,2023,Q3
1117,2023-09-21,91.900002,93.150002,91.800003,92.75,88.245384,15173388,21,9,2023,Q3
1116,2023-09-20,92.449997,92.949997,91.400002,91.849998,87.389091,18228395,20,9,2023,Q3
1115,2023-09-18,92.800003,93.400002,91.800003,92.599998,88.102669,17302409,18,9,2023,Q3
1114,2023-09-15,94.349998,94.550003,91.75,91.949997,87.484238,35184771,15,9,2023,Q3
